PDF Number,Course Name,Link
95.pdf,Bioreactors,https://drive.google.com/file/d/1nhMqnx4RRN0vMBSRA-DhjjmosWzJcrBt/view?usp=drive_link
96.pdf,Computer numerical control CNC of machine tools and processes,https://drive.google.com/file/d/1o8L5uVMHYRRsCs_5OdntDtGqYl4txftN/view?usp=sharing
97.pdf,Computer Vision,https://drive.google.com/file/d/1oCBfora7o__Qg-sSmqISnSqnNtVTkEO4/view?usp=sharing
98.pdf,Artificial Intelligence : Search Methods For Problem solving,https://drive.google.com/file/d/1oJWtOw-c7rcSqrPCSSqvAVf4NFYItIJi/view?usp=sharing
99.pdf,Fundamentals of Electrical Engineering,https://drive.google.com/file/d/1pyU_TKKC824pBgxScZjBd8pgJ3qkQD13/view?usp=sharing
100.pdf,Human molecular genetics,https://drive.google.com/file/d/1qTB4SHd4J2GUy8qpSYjjXGjoOrWAs5ug/view?usp=sharing
101.pdf,Enhancing Soft Skills and Personality,https://drive.google.com/file/d/1sK6EOHk0-1khJbz6RiDK1xcBT3T6aIn9/view?usp=sharing
102.pdf,Embedded System Design with ARM,https://drive.google.com/file/d/1sq20wUFBHaRCAd9Aj_r2Kh-pQSLaW5xX/view?usp=sharing
103.pdf,Electromagnetic theory,https://drive.google.com/file/d/1tDU0XOGmHvIm5VckWQIZCnQNBFxMy7GG/view?usp=drive_link
104.pdf,Basic Electrical Circuits,https://drive.google.com/file/d/1uq4mcH4IJMUxztL104-fxAtbEi9hLBFk/view?usp=drive_link
105.pdf,Psychology of Everyday,https://drive.google.com/file/d/1vXBHAGyTb2qrvysbVMNUemAxdvXrxMck/view?usp=sharing
106.pdf,Data Science for Engineers,https://drive.google.com/file/d/1vmVwnShlHFs_NY3Sg_yh5kcM66cCvtQw/view?usp=sharing
107.pdf,Software Project Management,https://drive.google.com/file/d/1wSSvuftLrmfb1Pxjwz4RIltLBUoGeYIC/view?usp=sharing
108.pdf,Introduction to Research,https://drive.google.com/file/d/1wfctTJjZ4E_1tLxsQs9EZ4ue_2zzxrGn
109.pdf,Information Security 5 secure systems Engineering,https://drive.google.com/file/d/1xa6_Fk4y9wzQl7ZOHxCwEuCq6vbdLB5L/view?usp=sharing
110.pdf,Experimental Physics I,https://drive.google.com/file/d/1y9jSxpTuyn9FDB0j-4sRKtzLRjnbeI6q/view?usp=sharing
111.pdf,Design for internet of things,https://drive.google.com/file/d/1yrRybtKSNFRWx3Rz94DLo8ZaKCWG6fs5/view?usp=sharing
112.pdf,Earth Sciences for Civil Engineering,https://drive.google.com/file/d/1zSsTHC-w0j3tjoXfsfqwPyG_GAlsdkTM/view?usp=sharing
