PDF Number,Course Name,Link
113.pdf,VLSI Physical Design,https://drive.google.com/file/d/1kmJtQsILq4cVjLzThOWZH4cEn9q3GaBj/view?usp=sharing
114.pdf,Fundamentals of electronic materials and devices,https://drive.google.com/file/d/1lFNbmgOu0MIcuYkYfPTPjMLflW_HlU2C/view?usp=sharing
115.pdf,Operating System Fundamentals,https://drive.google.com/file/d/1lK0Yg3IYp3q27xk0zfKhx_auHKAIokmk/view?usp=sharing
116.pdf,Database Management System,https://drive.google.com/file/d/1lPj2lmLlaaP2-p5GOxzLIDavTkEx2r00/view?usp=sharing
117.pdf,Switching Circuits and Logic Design,https://drive.google.com/file/d/1lSsxI24fU3hIjuplaXluhl5CGv0ycDFn/view?usp=sharing
118.pdf,Power Electronics,https://drive.google.com/file/d/1m6LnM58Z8S5Ob_xUgJYMioOaeomG4Ctj/view?usp=sharing
119.pdf,Language and Mind,https://drive.google.com/file/d/1ngVCNykmtKQK7e21ClB5CCWfbqIAhI8H/view?usp=sharing
120.pdf,Nanotechnology - Science and Applications,https://drive.google.com/file/d/1nx1rjMqC4-uSp6i-78y7fxghfoPRo5cf/view?usp=sharing
121.pdf,Engineering drawing and computer graphics,https://drive.google.com/file/d/1nxTjNz28apGghG35fUvUg6tKmBt5Ng4c/view?usp=sharing
122.pdf,Basic principles and calculations in chemical engineering,https://drive.google.com/file/d/1o0SDi1APiZCI92lhfUkWtyKxrM9aqi3a/view?usp=drive_link
123.pdf,"Programming, Data Structures And Algorithms Using Python",https://drive.google.com/file/d/1o32iRx5LOwybm43Vrm3idIIe_co4a1r2/view?usp=sharing
124.pdf,Psychology of Everyday,https://drive.google.com/file/d/1o6AxTZMXWSbazVMunjWrDt_qsB-CXXis/view?usp=sharing
125.pdf,Experimental Physics I,https://drive.google.com/file/d/1oUwPOirORnqfkGEigUlyc04cGEo8Kqy-/view?usp=sharing
126.pdf,Waves and Oscillations,https://drive.google.com/file/d/1os9eLeY7JdWrQdTRUe9McHceroJygKuZ/view?usp=sharing
127.pdf,Introduction to Fluid Mechanics,https://drive.google.com/file/d/1p8PlxnTVhx73W27-VI8yqyA3LnahrvY9/view?usp=sharing
128.pdf,Digital Electronic Circuits,https://drive.google.com/file/d/1pzzeO4fQ9MxQwArkEWZBv-5Fcsp1PzAt/view?usp=sharing
129.pdf,"Text,Textuality and Digital Media",https://drive.google.com/file/d/1qMi-guy0kLpbr1i4JqAmstZK0RDMKnal/view?usp=sharing
130.pdf,Metals in Biology,https://drive.google.com/file/d/1qxkBK8peaL_k8GCH7Uuir8tsE6EG_mtf/view?usp=sharing
131.pdf,Introduction to Operating Systems,https://drive.google.com/file/d/1r-bUYpIN4d7knwZ2Fq6M59ga---uUqwK/view?usp=sharing
132.pdf,Computer Architecture,https://drive.google.com/file/d/1rUzz4E51lTbFJS6Tm1Nhnuv0XkOjchZ_/edit
133.pdf,Nonlinear and Adaptive Control,https://drive.google.com/file/d/1rbuCEJMJsy1aT7U16zDAqBiynAGm0ZRT/view?usp=sharing
134.pdf,Soft skills,https://drive.google.com/file/d/1s-NyOgfLVz4WB6_3FCDMxhklkd98GrM8/view?usp=sharing
135.pdf,Engineering Mechanics,https://drive.google.com/file/d/1sQ8ehbvya46Et2wg9oguQEe-B83hb39h/view?usp=sharing
136.pdf,Heat Transfer,https://drive.google.com/file/d/1swWcYRfBHqz4blU2rkpTGVS1gKJmKbVr/view?usp=sharing
137.pdf,MATLAB Programming for Numerical Computation,https://drive.google.com/file/d/1tS8grzeiyTcLT2DYLbYXUq26PfxAWJL9/view?usp=sharing
138.pdf,Recent Advances in Transmission Insulators,https://drive.google.com/file/d/1uxJrJS9BlMG2w9hj_ed_rbBJVroX1awj/view?usp=sharing
139.pdf,Aircraft Design,https://drive.google.com/file/d/1v2nZgUEFqkljqS4uI7RxeRM0o4ElWpn_/view?usp=sharing
140.pdf,Fundamentals of Welding Science and Technology,https://drive.google.com/file/d/1vJOlMh2QAmWxHSlaoY5e5jsgBYfeXvKw/view?usp=sharing
141.pdf,Principles of Human Resource Management,https://drive.google.com/file/d/1w2SG9XS_MCyre-lVvK0fzUnKx0UZdgnm/view?usp=sharing
142.pdf,Managing Intellectual Property in University,https://drive.google.com/file/d/1wNZRwojeuK3KnEiyR3KgMwzWjrdR7cDt/view?usp=sharing
143.pdf,Microwave Integrated Circuits,https://drive.google.com/file/d/1wSKVXLmyHcF5vj9dTKhL_MjRSS-ZOBD5/view?usp=sharing
