PDF Number,Course Name,Link
85.pdf,Engineering mathematics - I,https://drive.google.com/file/d/1pEUIYmt8Oxb5WnzzNTmQFsBdOHhJKFpG/view?usp=sharing
86.pdf,Teaching And Learning in Engineering (TALE),https://drive.google.com/file/d/1pWXjB-FV-0CEa62ZXadYY0Fq4RbRvXeh/view?usp=sharing
87.pdf,Software Testing,https://drive.google.com/file/d/1paBFp3FIiQqPjZk1aa4lE90jnl60Cda5/view?usp=sharing
88.pdf,Electrical Machines - II,https://drive.google.com/file/d/1qNKI4b-KQNSHXKL8A42uO_2XfVw5c072/view?usp=drive_link
89.pdf,Managing Services,https://drive.google.com/file/d/1qPdrz7pIWGDtPhQ8mtqFLyLG5mqdKin5/view?usp=sharing
90.pdf,Artificial Intelligence : Search Methods For Problem solving,https://drive.google.com/file/d/1qjshtFEzUtB-RmdmMDy5qOC9GU3YNz0W/view?usp=sharing
91.pdf,Applied Thermodynamics for Engineers,https://drive.google.com/file/d/1qoPCVFZOsyLWOPyUu37MZ9q93s7pr2OK/view?usp=sharing
92.pdf,Information Security - 5 - Secure Systems Engineering,https://drive.google.com/file/d/1rFmf8TzMLIqieZbb3evuIEaVCRreo-QR/view?usp=sharing
93.pdf,Fundamentals of Electronic materials and Devices,https://drive.google.com/file/d/1rPKi5zLE9IHk4gfPPTdhkK-BG93stfkG/edit
94.pdf,Engineering mathematics - I,https://drive.google.com/file/d/1vSA2OOtLgtayeLBY9z4FeLfu50VQwBNh/view?usp=sharing
95.pdf,Basic principles and calculations in chemical engineering,https://drive.google.com/file/d/1wBcJZ2BpSQI2Yjd0hsy2zZ70fWnspxDr/view?usp=sharing
96.pdf,Electrical Machines - I,https://drive.google.com/file/d/1yKMk5_kVunaT9yj1ZzD1Wtt2KO5I-bmj/view?usp=drive_link
97.pdf,Soft Skills,https://drive.google.com/file/d/1yKTqtsSXNkBspLV3wkrXY8A7DDBg2KnS/edit
