PDF Number,Course Name,Link
122.pdf,Human Adjustment Processes,https://drive.google.com/file/d/1DjsRrvs3aPFI-8m_XgXtj_lwyTQ_jyu-/view
123.pdf,Introduction to Probability Theory and Stochastic Processes,https://drive.google.com/file/d/1Dl6gV58DPYF6BCF9gPip6x8Z6vTd60zV/view
124.pdf,Safety in Construction,https://drive.google.com/file/d/1DmM6yFkk-FcDDe4NRy5wv8oPbgStZIFe/view?usp=drivesdk
125.pdf,Managing Intellectual Property in Universities,https://drive.google.com/file/d/1EHCFSNa7jev0ekRoxpxn5MCgH37QYAih/view
126.pdf,Foundations of Wavelets and Multirate Digital Signal Processing,https://drive.google.com/file/d/1EUJFRhR-Q7K68_F4gL9g0HYpjCh28f6q/view
127.pdf,Biostatistics and Design of experiments,https://drive.google.com/file/d/1EaBH4SfE4AcdmoDzQ7iFwMSJkmSfIQet/view
128.pdf,Numerical methods and programing,https://drive.google.com/file/d/1Eavui3f4iJYmGPOF2n33k5erJs1jFsVF/view
129.pdf,Information Security-3,https://drive.google.com/file/d/1EgzFRe57L-aztWL5qdcPh2AbPHqre3D4/view
130.pdf,Essentials of Data Science With R Software - 1: Probability and Statistical Inference,https://drive.google.com/file/d/1EiQ42B9eZxFoVd9CglzV4SJEv1LO6vRj/view
131.pdf,Bioelectrochemistry,https://drive.google.com/file/d/1EjhZ_E5rUWlcsLRE8xyBgMAjcimUhOCq/view
132.pdf,Principles of Mechanical Measurement,https://drive.google.com/file/d/1EqlnR3vrMflJs-6Vteqm-Dh0xtEv7Qwp/view?usp=drivesdk
133.pdf,Principles of Modern CDMA/ MIMO/ OFDM Wireless Communications,https://drive.google.com/file/d/1EsncmLX7uae_svtsraN1WIbyJa0jsunB/view
134.pdf,Demystifying Networking,https://drive.google.com/file/d/1EuI0ffW7vE_3Ogzo3E--FHFR91YLAamj/view
135.pdf,Financial Accounting,https://drive.google.com/file/d/1F6WAmKsmpWtrgN4cihRKuVXArelp67qs/view
136.pdf,Outcome Based Pedagogic Principles for Effective Teaching,https://drive.google.com/file/d/1FDThM1TMvNdu9VQQsiRVdqM1Po5BV42v/view
137.pdf,Fundamentals of combustion for propulsion,https://drive.google.com/file/d/1FPyMJsTKUi0OD1kXMedvDF1x0QRCMmT4/view?usp=drivesdk
138.pdf,Digital speech processing,https://drive.google.com/file/d/1FQ_VUOzgzni5ArTA73od5SQ30wfxyRg4/view
139.pdf,Introduction to Soft Computing,https://drive.google.com/file/d/1FZh8r0uM_TfjqRU630XBOSFl_W7zuNoB/view
140.pdf,Aircraft Propulsion,https://drive.google.com/file/d/1FcM2CzOEEwhfbIhVfzCrzGcGp_gyKZOf/view
141.pdf,Natural Language Processing,https://drive.google.com/file/d/1G2Th1mVVuZxyxJ80CFpKe1_9nPLbJt2q/view
142.pdf,Introduction to Environmental Economics,https://drive.google.com/file/d/1G7Ossyc6ATiWMuEZX1dtaStUcKAjk7QR/view?usp=drivesdk
143.pdf,Earth Sciences for Civil Engineering - Part 2,https://drive.google.com/file/d/1G8-SvlG6W1-J90_sn6diT0KntHBk45Lp/view
144.pdf,Sociology of Science,https://drive.google.com/file/d/1GDs2PNcJWMf8TTxwXCDcctcjdNCom8LM/view
145.pdf,,https://drive.google.com/file/d/1GLAsFhF3iy25CKtq-PCNek14FezopBqv/view?usp=drivesdk
146.pdf,Robotics: Basics and Selected Advanced Concepts,https://drive.google.com/file/d/1GS9jRvT5sTEi1DWH6fHEwRwCkaqw6Tjg/view?usp=drivesdk
147.pdf,Mathematical Portfolio Theory,https://drive.google.com/file/d/1GVLAVSb7MfMvtsu3o8BmJzdmEQfjGX-W/view?usp=drivesdk
148.pdf,Basics of language Science,https://drive.google.com/file/d/1GYtFdC8vg9aM6aQz64ifCj9iTti9j5s-/view?usp=drivesdk
149.pdf,Principles of Management,https://drive.google.com/file/d/1G_uq1ULBuMz_L4y6GxClKhy8bAdDMcrE/view?usp=drivesdk
150.pdf,Science and Technology of Weft and Warp Knitting,https://drive.google.com/file/d/1Gd-Q5s2ibPk2V-Mzufzs4FNU2Pdz6hf4/view
151.pdf,Database Management System,https://drive.google.com/file/d/1Gv5g0waulZ35YfpYaqw5_wIYK-0VQQuK/view
152.pdf,Sustainability through Green Manufacturing Systems: An Applied Approach,https://drive.google.com/file/d/1HACm_HplQIV9tVtHqsFR5oj9Dp0aYAGl/view
153.pdf,Strategic Communication for Sustainable Development,https://drive.google.com/file/d/1HYhbLVe6DFxGsU_qoAMoSXkS3palCFI0/view
154.pdf,Control systems,https://drive.google.com/file/d/1HYpekN14iMcUC5kgbv473KhwRHaqx9D-/view
155.pdf,"Text, Textuality and Digital Media",https://drive.google.com/file/d/1HfmwbRCZ1S0__avq4MyeUEDFzmlRahB-/view
156.pdf,Environmental Geomechanics,https://drive.google.com/file/d/1Hg0zyIiiVJ3QvLxHpIYKtAqAuSQ4FE8G/view
157.pdf,Soft Nano Technology,https://drive.google.com/file/d/1HnuUIbKIJuq_mcf8UPilj4UwKrH6eFcE/view
158.pdf,Soft Nano Technology,https://drive.google.com/file/d/1HnuUIbKIJuq_mcf8UPilj4UwKrH6eFcE/view
159.pdf,"Object Oriented System Development using UML, Java and Patterns",https://drive.google.com/file/d/1HtFx87POl-V5bMZbxVF2moiFlFoPIuXX/view?usp=drivesdk
160.pdf,Regulatory requirements for medical devices,https://drive.google.com/file/d/1HyhYYeLJCTcdl2YpaJH21lDFFwvseSFx/view?usp=drivesdk
161.pdf,Behavioral and Personal Finance,https://drive.google.com/file/d/1IEsnVmMGGh0s125HTHbimHFPs2eI9KbK/view?usp=drivesdk
162.pdf,Convective Heat Transfer,https://drive.google.com/file/d/1INAzeWdFgLknoMNGxXsGrOe3wQQjAMEJ/view
163.pdf,Reactive Intermediates Carbene and Nitrene,https://drive.google.com/file/d/1IPFyGMlsIoAWfiJ4Jymho7iUIbxFPQqH/view
164.pdf,Patent Drafting for Beginners,https://drive.google.com/file/d/1IVX7qhoXA5jv-sAYmBfto5ASOa-LBk9K/view
165.pdf,Introduction to Abrasive Machining and Finishing Processes,https://drive.google.com/file/d/1IgdlYHHKT_hd55fqQZcOaSeqn5QWE6tB/view
166.pdf,Functional and Conceptual Design,https://drive.google.com/file/d/1IiBwD4O9WZT5ey6w-3MN5OVP9GPwrp6E/view
167.pdf,Experimental Biotechnology,https://drive.google.com/file/d/1J9ojeUp5OwvvD-ywzB0O5zdz_FB4t-oP/view
