PDF Number,Course Name,Link
118.pdf,Introduction to Wireless and Cellular Communications,https://drive.google.com/file/d/1blHFljLqo1yCtiEfSRdu7bHf6hs6FRRp/view?usp=sharing
119.pdf,Elements of Visual Representation,https://drive.google.com/file/d/1cwQXgyQgU39H3FdNwzgkWUgh9D-Gcn76/view?usp=sharing
120.pdf,Soft Skill Development,https://drive.google.com/file/d/1d_BceJb30TAIb9HIXO3CePoQNLLWD_Yl/view?usp=sharing
121.pdf,Advanced Topics in the Science and Technology of Concrete,https://drive.google.com/file/d/1dg3U7va0iHkeHlUXCJNEn80hukvTbyB1/view?usp=sharing
122.pdf,Switching Circuits and Logic Design,https://drive.google.com/file/d/1dqskO605c7x-sv5O35nWUaPjF1j_aw7E/view?usp=sharing
123.pdf,Operating System Fundamentals,https://drive.google.com/file/d/1e45jxICkmlL5iuxMlh_UXqgpFwmj0f_i/view?usp=sharing
124.pdf,Globalization and Culture,https://drive.google.com/file/d/1eME43At6JZV8RErlcGw7-gtGCty_WNGe/view?usp=sharing
125.pdf,"Cognition,Transformation and Lives",https://drive.google.com/file/d/1ehyd96uIrF8WMlp_wEF0yoga7nvbUJST/view?usp=sharing
126.pdf,Energy conservation and waste heat recovery,https://drive.google.com/file/d/1ezsDP6xmJH3pG7xwe7tgm1yGSEOtCzZ_/view?usp=sharing
127.pdf,Patent Law For Engineers And Scientists,https://drive.google.com/file/d/1fDB-4nVrq6kmOJim5o0s9NqqZMScahxJ/view?usp=sharing
128.pdf,Principles and Applications of Building Science,https://drive.google.com/file/d/1fIRxll1DC_xlVD3Ac3EEwT9zipkc3_H0/view?usp=sharing
129.pdf,Culturally Responsive Built Environments,https://drive.google.com/file/d/1fk70rO7gjX8juCdchuBYCbFYTPUU4C8e/edit
130.pdf,Engineering fracture mechanics,https://drive.google.com/file/d/1fxaSI9AmIjRClhb1oUucRAtOCPGQSVi6/view?usp=sharing
131.pdf,Sensors and Actuators,https://drive.google.com/file/d/1gUZDLfrwjKZbqQWCRtFvX1mjsu5rVcRF/view?usp=sharing
132.pdf,Fundamentals of Database Systems,https://drive.google.com/file/d/1gztlqLO6SSYQbEl_4pz6cCsbg0JtJiNg/view?usp=sharing
133.pdf,Basic Electronics,https://drive.google.com/file/d/1hnCOu1fFFskPFAlGZOoRfip4PayLfQ5h/edit
134.pdf,Short Fiction in Indian Literature,https://drive.google.com/file/d/1iQXx4RAasyFZYlbY5s6QwQkVuUsvk3bg/view?usp=sharing
135.pdf,Financial Statement Analysis and Reporting,https://drive.google.com/file/d/1jkg3Ac8IyesUWM2cWtxx0Uie9l2f-tH4/edit
136.pdf,Antennas,https://drive.google.com/file/d/1k5cB_htlFyMZKgW8_1x_pggDuSPYYuFY/view?usp=drive_link
137.pdf,Financial Accounting,https://drive.google.com/file/d/1kWsls14mUZrlfIjbDNTPlB9hCYl5jC87/view?usp=sharing
138.pdf,Postcolonial Literature,https://drive.google.com/file/d/1kY_tHM91bds2Fc-tOlX71aSS1sHEHWd5/view?usp=sharing
139.pdf,Power System Engineering,https://drive.google.com/file/d/1l2i94qjyDSkgl388kbs4ZjLw-htaBeW2/view?usp=sharing
140.pdf,Theory and Practice of Non Destructive Testing,https://drive.google.com/file/d/1lCaWBJw-5ZNHBUNtNY0CplIqvFX3FtPf/view?usp=sharing
141.pdf,Fundamentals of electrical engineering,https://drive.google.com/file/d/1lGtnnBMdGKqcrUd-Qu06OFN5SbZ5MvX_/view?usp=sharing
142.pdf,Software Project Management,https://drive.google.com/file/d/1lUYjmxsEUHH6bFEX384T53rbaFGKsXu9/view?usp=sharing
143.pdf,Two phase flow and heat transfer,https://drive.google.com/file/d/1mFTHZc4jHKFkr0StRBxU9XuK998m076y/view?usp=sharing
144.pdf,Operations and Supply Chain Management,https://drive.google.com/file/d/1mu_Cnb8Vtbbph_Hq2tKbC7Nr0TdcQrdJ/view?usp=sharing
145.pdf,Application of Spectroscopic Methods in Molecular Structure Determination,https://drive.google.com/file/d/1n-seuS8cSrB5VUAFxRIOnN4R7R13nhJP/view?usp=sharing
146.pdf,Estimation for Wireless Communications MIMO (or) OFDM Cellular and Sensor Networks,https://drive.google.com/file/d/1nWhEQgkBFadG-qEs5rHNHONUUitb_zgd/view?usp=sharing
147.pdf,Privacy and Security in Online Social Media,https://drive.google.com/file/d/1nj-oimbgSnCTQ2et2PVqgD8YD90o_iv3/edit
148.pdf,Natural Language Processing,https://drive.google.com/file/d/1nwWmFQFv2hxbx46wcKn8LkZjIUBVBGQ9/view?usp=sharing
149.pdf,Emotional Intelligence,https://drive.google.com/file/d/1odiGgtKrzpEX8bSPkFGZEGxw1YZfs1nr/view?usp=sharing
150.pdf,Mechanisms in Organic Chemistry,https://drive.google.com/file/d/1osiOwtruBfZ7mXuNEz4CwIwHH5VEFAc-/view?usp=sharing
151.pdf,Electrical Distribution System Analysis,https://drive.google.com/file/d/1p9MIcp1VW2nfqkR_Hn-akvtLCrYWbVWC/view?usp=sharing
152.pdf,Working Capital Management,https://drive.google.com/file/d/1piouqhmQi72YC_Y7pKEPEwwlPeMoTaDb/view?usp=sharing
153.pdf,Data Science for Engineers,https://drive.google.com/file/d/1pmgHB5s-NnqMbHV0mPFZi7hijNGCaEjo/view?usp=sharing
154.pdf,Farm Machinery,https://drive.google.com/file/d/1pwh3-J5rkIw64cPJ9UzRzD1AixTXEj-b/view?usp=sharing
155.pdf,Health Research Fundamentals,https://drive.google.com/file/d/1qD5Ok6mFQ4u2OuqHow1A7tAiBjEBFX2a/edit
156.pdf,Design of Steel Structures,https://drive.google.com/file/d/1qGovUinawsrL-OekkEy7iwnYMiTr2adF/view?usp=sharing
157.pdf,Multirate DSP,https://drive.google.com/file/d/1qZtCQoKCTZ_-trSJ_dfhEBVsE_4TrZhY/view?usp=sharing
158.pdf,Information Security - 5 - Secure Systems Engineering,https://drive.google.com/file/d/1qlscmPtRlbMZhXnPVt8WelUhfm95uZfL/view?usp=sharing
159.pdf,Psychology of Everyday,https://drive.google.com/file/d/1qxjqphPDpB7iFShd9a2LEreuQb9P4T1n/view?usp=sharing
160.pdf,Cell Culture Technologies,https://drive.google.com/file/d/1rBeEP5CMrZECK-dPNk06NtxTmG_MZWF1/view?usp=sharing
161.pdf,Course name:,https://drive.google.com/file/d/1rCB1x6FhLWL2oAs1G8CixiULeXYMlEH0/view?usp=sharing
162.pdf,Services Marketing: A Practical Approach,https://drive.google.com/file/d/1rqUZ0Ryfs6xUD9UjH2j1_ZqK1_BKlF94/view?usp=sharing
163.pdf,Robotics,https://drive.google.com/file/d/1s69ZP7t7jxZ8mCK5xeuCXxMSlHOrTRaa/view?usp=sharing
164.pdf,Introduction to Electromagnetism,https://drive.google.com/file/d/1sVbr5eQDHUmeer-LN-wvr-TgcLcDEzlM/view?usp=sharing
165.pdf,Introduction to Fluid Mechanics,https://drive.google.com/file/d/1swVxnMWDIqlxQpI8WwHDaTbQKLVLAYBi/view?usp=sharing
166.pdf,Differential equations for engineers,https://drive.google.com/file/d/1tJr1pmIKDPLZB8kxl37_RkDrM2bNcBpf/view?usp=sharing
167.pdf,Software Testing,https://drive.google.com/file/d/1tX9IWB7xY8EbsdzDmhjJWgwvjBlBxq-F/view?usp=sharing
168.pdf,Integral and Vector Calculus,https://drive.google.com/file/d/1udcwj2ImLMDXNn9q_TGzJ2uda3LR3IMk/view?usp=sharing
169.pdf,Functional Genomics,https://drive.google.com/file/d/1uklMYzcaObv-xeawqUo8aYnjvnLVE9Fa/view?usp=sharing
170.pdf,Marketing Management-I,https://drive.google.com/file/d/1uxC3mLiBYLesDJBXxUAH_6_zoWB0k5Tk/view?usp=sharing
171.pdf,Database management System,https://drive.google.com/file/d/1vGhrPWj8ooemBAMztasc8mXy4IdL-r99/view?usp=sharing
172.pdf,"Programming,data Structures and Algorithms using Python",https://drive.google.com/file/d/1vWa5iEDH-s8r03tPtzz_dEMVNJwkbRkc/edit
173.pdf,Basics in Inorganic Chemistry,https://drive.google.com/file/d/1vxAtC1rctYFVDSleOtc0dbDAv4U0ztNA/view?usp=sharing
174.pdf,Advanced Materials and Processes,https://drive.google.com/file/d/1wWFdZdEObuY-xNdLq3oxrBeq9m9qnzS6/edit
175.pdf,Biology for Engineers and Other Non-Biologists,https://drive.google.com/file/d/1wreKeAwhOAH-TALup5tCUoTOWk9QuSdP/view?usp=sharing
176.pdf,"Text,Textuality and Digital Media",https://drive.google.com/file/d/1ws1aj_G0Vgain7sZ37jM_FSun-UTQqDf/view?usp=sharing
177.pdf,Cloud Computing,https://drive.google.com/file/d/1wuowdOAz4fJWRMpCl5vE8KOi-_3J02vS/edit
178.pdf,Engineering mathematics - I,https://drive.google.com/file/d/1x02tA3sbNCkkmmu0Es9Ee9VAPiYWM1BD/view?usp=sharing
179.pdf,Industrial Automation and Control,https://drive.google.com/file/d/1xfKcrSUWRmu_6_1E4pz3NCKxUVXrlPTA/view?usp=sharing
180.pdf,Introductory quantum mechanics,https://drive.google.com/file/d/1xgZh0kM2VKK_QMY4VwP7bOsgQme3274O/view?usp=sharing
181.pdf,Structural Dynamics for Civil Engineers - SDOF systems,https://drive.google.com/file/d/1yxVR4jHqKdl136ve9ihXKlS_DilkwlRq/view?usp=sharing
182.pdf,TALE 2: Course Design and Instruction of Engineering Course,https://drive.google.com/file/d/1z6RMeL_2irTvPcJvFP5ZOHfAtKTgAalw/view?usp=sharing
183.pdf,Chemical Process Control,https://drive.google.com/file/d/1zGH4iuDIEaEstnOKdzN8O554MGx6n8Rk/view?usp=sharing
184.pdf,Management Accounting,https://drive.google.com/file/d/1zY-rTr13SaowONEt2FHu3i21id15O6Mc/view?usp=sharing
